source_id,fund_id,source_date,source_type,source_name,source_url,data_items_covered,confidence_level,subscription_required,analyst_notes,last_checked
S001,F001,2025-01-17,News/GP announcement,Reuters,https://www.reuters.com/business/finance/private-equity-secondary-sales-hit-record-ardian-closes-30-bln-fund-2025-01-17/,"fund_size, final_close_date, strategy_type",High,No,Confirms $30bn close and partial deployment as of Jan 2025,2026-06-08
S002,F003,2024-01-01,GP press release,Lexington Partners,https://www.lexingtonpartners.com/press-releases/lexington-partners-raises-22-7-billion-for-global-secondary-fund/,"fund_size, target_size, final_close_year",High,No,Official GP announcement confirming $22.7bn close above $15bn target,2026-06-08
S003,F005,2023-01-18,GP press release,Blackstone,https://www.blackstone.com/news/press/blackstone-strategic-partners-closes-record-private-equity-secondary-funds-at-25-billion/,"fund_size, final_close_date, strategy_type",High,No,SP IX $22.2bn + SP GPS $2.7bn GP-led confirmed,2026-06-08
S004,F007,2020-01-01,GP press release,Ardian,https://www.ardian.com/news-insights/press-releases/global-investors-buy-record-ardian-19-billion-secondaries-platform,"fund_size, final_close_year",High,No,Confirms $19bn platform close for ASF VIII,2026-06-08
S005,F008,2026-01-13,GP press release,Coller Capital,https://www.collercapital.com/coller-capital-raises-17-billion-for-global-private-equity-secondaries-platform/,"fund_size, target_size, final_close_date",High,No,Confirms $17bn close above $10bn target; LP-led and GP-led focus confirmed,2026-06-08
S006,F009,2024-08-01,News,Wall Street Journal,https://www.wsj.com/articles/harbourvest-enters-new-territory-with-18-5-billion-to-back-secondary-deals-273633a5,"fund_size, overflow_fund, strategy_type",High,Yes,$15.1bn main + $3.4bn overflow; WSJ article may require subscription,2026-06-08
S007,F010,2025-09-12,Advisor/press report,Loyens & Loeff,https://www.loyensloeff.com/insights/news--events/news/usd-20-billion-raised-carlyle-alpinvest-successfully-closes-secondaries-fund-viii/,"fund_size, final_close_date, private_wealth_channel",High,No,AlpInvest $15bn hard cap + co-investments + private wealth; advisor announcement,2026-06-08
S008,F011,2023-09-20,GP press release,Goldman Sachs Asset Management,https://am.gs.com/en-cn/institutions/news/press-release/2023/goldman-sachs-asset-management-raises-over-15-billion-for-private-market-secondaries-strategies,"fund_size, final_close_date",High,No,$14.2bn equity commitments confirmed above target,2026-06-08
S009,F013,2020-01-15,GP press release,Lexington Partners,https://www.lexingtonpartners.com/press-releases/lexington-capital-partners-ix-closes-at-14-billion/,"fund_size, target_size, final_close_date, lp_count",High,No,LCP IX $14bn confirmed; over 450 investors,2026-06-08
S010,F014,2019-01-01,GP press release,Blackstone,https://www.blackstone.com/news/press/blackstone-strategic-partners-closes-eighth-fund-at-11-1-billion/,"fund_size, final_close_year",High,No,SP VIII $11.1bn confirmed,2026-06-08
S011,F015,2025-03-03,GP press release,ICG Strategic Equity,https://www.icgam.com/2025/03/03/icg-strategic-equity-completes-record-fundraise-of-11bn/,"fund_size, target_size, final_close_date, strategy_type",High,No,ICGSE V $11bn confirmed; GP-led and single-asset focus; more than double predecessor,2026-06-08
S012,ALL_CALSTRS,2025-06-30,LP performance report,CalSTRS,https://www.calstrs.com/private-equity-portfolio-performance-table,"net_irr_pct, dpi, rvpi, tvpi, committed_usd_m, contributed_usd_m, distributed_usd_m, market_value_usd_m",High,No,LP-level capital account returns as of June 30 2025; not fund-level GP returns,2026-06-08
S013,F004,2024-01-01,News/paywalled,Secondaries Investor,https://www.secondariesinvestor.com/blackstone-targets-22bn-for-strategic-partners-fund-x/,"target_size_usd_bn",Medium,Yes,Paywalled article; verify SP X target and close date manually,2026-06-08
S014,F002,2026-01-01,News/market reports,PEI/Secondaries Investor/PitchBook,NEEDS_MANUAL_REVIEW,"fund_size, target_size, strategy_type",Medium,Yes,LCP XI in market; no confirmed data point; verify through subscription databases,2026-06-08
S015,F006,2026-01-01,News/market reports,PEI/Secondaries Investor/PitchBook,NEEDS_MANUAL_REVIEW,"fund_size, target_size, final_close_date",Medium,Yes,Dover Street XII in market; no confirmed data point; verify through subscription databases,2026-06-08
